tourney_name,tourney_date,winner_id,winner_name,winner_ioc
Richmond WCT,1973-01-29,100029.0,Rod Laver,AUS
Copenhagen WCT,1973-02-12,100058.0,Roger Taylor,GBR
Cleveland WCT,1973-04-09,100016.0,Ken Rosewall,AUS
Dallas WCT,1973-05-09,100126.0,Stan Smith,USA
Gothenberg WCT,1973-04-23,100126.0,Stan Smith,USA
Barcelona,1973-04-02,100119.0,Ilie Nastase,ROU
Prague,1973-10-28,100220.0,Jiri Hrebec,CZE
Berlin,1973-06-10,100137.0,Han Jurgen Pohmann,GER
Miami WCT,1973-01-15,100029.0,Rod Laver,AUS
Las Vegas,1973-05-14,100261.0,Brian Gottfried,USA
Montreal / Toronto,1973-08-20,100084.0,Tom Okker,NED
Salt Lake City,1973-02-07,100284.0,Jimmy Connors,USA
Calgary,1973-02-18,100119.0,Ilie Nastase,ROU
Christchurch,1973-11-18,100030.0,Fred Stolle,AUS
Merion,1973-08-19,100182.0,Mike Estep,USA
Paramus,1973-03-09,100284.0,Jimmy Connors,USA
Omaha,1973-01-24,100119.0,Ilie Nastase,ROU
San Francisco,1973-09-24,100022.0,Roy Emerson,AUS
St. Louis WCT,1973-03-26,100126.0,Stan Smith,USA
Fort Worth,1973-10-07,100232.0,Eddie Dibbs,USA
Birmingham,1973-01-17,109841.0,Alex Mayer,USA
Jackson,1973-03-22,100232.0,Eddie Dibbs,USA
Hampton,1973-03-03,100284.0,Jimmy Connors,USA
Valencia,1973-04-02,100174.0,Manuel Orantes,ESP
Los Angeles,1973-09-17,100284.0,Jimmy Connors,USA
Barcelona,1973-10-08,100119.0,Ilie Nastase,ROU
Sydney Indoor,1973-11-11,100029.0,Rod Laver,AUS
Johannesburg,1973-11-27,100284.0,Jimmy Connors,USA
Stockholm,1973-11-04,100127.0,Tom Gorman,USA
Tokyo,1973-10-14,100016.0,Ken Rosewall,AUS
Columbus,1973-08-05,100284.0,Jimmy Connors,USA
Bournemouth,1973-05-06,100214.0,Adriano Panatta,ITA
Hong Kong,1973-10-29,100029.0,Rod Laver,AUS
Cologne WCT,1973-02-19,100113.0,Jan Kodes,CZE
US Open,1973-08-29,100087.0,John Newcombe,AUS
Cincinnati,1973-08-06,100119.0,Ilie Nastase,ROU
